,Year,Conference,Round,Team1,Seed1,Odds1,Team2,Seed2,Odds2,WinningTeam,SeriesLength
0,2023,Eastern,Conf Finals,Boston Celtics,2,-550.0,Miami Heat,8,400.0,,
1,2023,Western,Conf Finals,Denver Nuggets,1,-170.0,Los Angeles Lakers,7,145.0,1,4.0
2,2023,Eastern,Conf Semis,Boston Celtics,2,-550.0,Philadelphia 76ers,3,425.0,1,7.0
3,2023,Eastern,Conf Semis,New York Knicks,5,-160.0,Miami Heat,8,140.0,2,6.0
4,2023,Western,Conf Semis,Denver Nuggets,1,100.0,Phoenix Suns,4,-120.0,1,6.0
5,2023,Western,Conf Semis,Golden State Warriors,6,-150.0,Los Angeles Lakers,7,130.0,2,6.0
6,2023,Eastern,Round 1,Milwaukee Bucks,1,-1200.0,Miami Heat,8,750.0,2,5.0
7,2023,Eastern,Round 1,Boston Celtics,2,-1600.0,Atlanta Hawks,7,900.0,1,6.0
8,2023,Eastern,Round 1,Philadelphia 76ers,3,-1100.0,Brooklyn Nets,6,700.0,1,4.0
9,2023,Eastern,Round 1,Cleveland Cavaliers,4,-190.0,New York Knicks,5,170.0,2,5.0
10,2023,Western,Round 1,Denver Nuggets,1,-550.0,Minnesota Timberwolves,8,425.0,1,5.0
11,2023,Western,Round 1,Memphis Grizzlies,2,-160.0,Los Angeles Lakers,7,140.0,2,6.0
12,2023,Western,Round 1,Sacramento Kings,3,225.0,Golden State Warriors,6,-265.0,2,7.0
13,2023,Western,Round 1,Phoenix Suns,4,-600.0,Los Angeles Clippers,5,450.0,1,5.0
14,2022,,NBA Finals,Golden State Warriors,3,-145.0,Boston Celtics,2,125.0,1,6.0
15,2022,Eastern,Conf Finals,Miami Heat,1,140.0,Boston Celtics,2,-160.0,2,7.0
16,2022,Western,Conf Finals,Golden State Warriors,3,-220.0,Dallas Mavericks,4,180.0,1,5.0
17,2022,Eastern,Conf Semis,Miami Heat,1,-310.0,Philadelphia 76ers,4,250.0,1,6.0
18,2022,Eastern,Conf Semis,Boston Celtics,2,-200.0,Milwaukee Bucks,3,170.0,1,7.0
19,2022,Western,Conf Semis,Phoenix Suns,1,-295.0,Dallas Mavericks,4,240.0,2,7.0
20,2022,Western,Conf Semis,Memphis Grizzlies,2,210.0,Golden State Warriors,3,-255.0,2,6.0
21,2022,Eastern,Round 1,Miami Heat,1,-420.0,Atlanta Hawks,8,330.0,1,5.0
22,2022,Eastern,Round 1,Boston Celtics,2,-130.0,Brooklyn Nets,7,110.0,1,4.0
23,2022,Eastern,Round 1,Milwaukee Bucks,3,-1100.0,Chicago Bulls,6,700.0,1,5.0
24,2022,Eastern,Round 1,Philadelphia 76ers,4,-175.0,Toronto Raptors,5,155.0,1,6.0
25,2022,Western,Round 1,Phoenix Suns,1,-1350.0,New Orleans Pelicans,8,750.0,1,6.0
26,2022,Western,Round 1,Memphis Grizzlies,2,-320.0,Minnesota Timberwolves,7,260.0,1,6.0
27,2022,Western,Round 1,Golden State Warriors,3,-275.0,Denver Nuggets,6,225.0,1,5.0
28,2022,Western,Round 1,Dallas Mavericks,4,245.0,Utah Jazz,5,-300.0,1,6.0
29,2021,,NBA Finals,Phoenix Suns,2,-180.0,Milwaukee Bucks,3,160.0,2,6.0
30,2021,Eastern,Conf Finals,Milwaukee Bucks,3,-500.0,Atlanta Hawks,5,400.0,1,6.0
31,2021,Western,Conf Finals,Phoenix Suns,2,-200.0,Los Angeles Clippers,4,170.0,1,6.0
32,2021,Eastern,Conf Semis,Philadelphia 76ers,1,-175.0,Atlanta Hawks,5,155.0,2,7.0
33,2021,Eastern,Conf Semis,Brooklyn Nets,2,-180.0,Milwaukee Bucks,3,160.0,2,7.0
34,2021,Western,Conf Semis,Utah Jazz,1,-130.0,Los Angeles Clippers,4,110.0,2,6.0
35,2021,Western,Conf Semis,Phoenix Suns,2,-210.0,Denver Nuggets,3,175.0,1,4.0
36,2021,Eastern,Round 1,Philadelphia 76ers,1,-1000.0,Washington Wizards,8,650.0,1,5.0
37,2021,Eastern,Round 1,Brooklyn Nets,2,-1400.0,Boston Celtics,7,800.0,1,5.0
38,2021,Eastern,Round 1,Milwaukee Bucks,3,-320.0,Miami Heat,6,250.0,1,4.0
39,2021,Eastern,Round 1,New York Knicks,4,110.0,Atlanta Hawks,5,-130.0,2,5.0
40,2021,Western,Round 1,Utah Jazz,1,-1400.0,Memphis Grizzlies,8,800.0,1,5.0
41,2021,Western,Round 1,Phoenix Suns,2,155.0,Los Angeles Lakers,7,-175.0,1,6.0
42,2021,Western,Round 1,Denver Nuggets,3,110.0,Portland Trail Blazers,6,-130.0,1,6.0
43,2021,Western,Round 1,Los Angeles Clippers,4,-400.0,Dallas Mavericks,5,310.0,1,7.0
44,2020,,NBA Finals,Los Angeles Lakers,1,-350.0,Miami Heat,5,290.0,1,6.0
45,2020,Eastern,Conf Finals,Boston Celtics,2,-130.0,Miami Heat,5,110.0,2,6.0
46,2020,Western,Conf Finals,Los Angeles Lakers,1,-550.0,Denver Nuggets,3,425.0,1,5.0
47,2020,Eastern,Conf Semis,Milwaukee Bucks,1,-440.0,Miami Heat,5,350.0,2,5.0
48,2020,Eastern,Conf Semis,Toronto Raptors,2,-135.0,Boston Celtics,3,115.0,2,7.0
49,2020,Western,Conf Semis,Los Angeles Lakers,1,-550.0,Houston Rockets,4,425.0,1,5.0
50,2020,Western,Conf Semis,Los Angeles Clippers,2,-1300.0,Denver Nuggets,3,850.0,2,7.0
51,2020,Eastern,Round 1,Milwaukee Bucks,1,-7500.0,Orlando Magic,8,3250.0,1,5.0
52,2020,Eastern,Round 1,Toronto Raptors,2,-2200.0,Brooklyn Nets,7,1315.0,1,4.0
53,2020,Eastern,Round 1,Boston Celtics,3,-450.0,Philadelphia 76ers,6,360.0,1,4.0
54,2020,Eastern,Round 1,Indiana Pacers,4,260.0,Miami Heat,5,-320.0,2,4.0
55,2020,Western,Round 1,Los Angeles Lakers,1,-550.0,Portland Trail Blazers,8,425.0,1,5.0
56,2020,Western,Round 1,Los Angeles Clippers,2,-630.0,Dallas Mavericks,7,465.0,1,6.0
57,2020,Western,Round 1,Denver Nuggets,3,-285.0,Utah Jazz,6,243.0,1,7.0
58,2020,Western,Round 1,Houston Rockets,4,-160.0,Oklahoma City Thunder,5,140.0,1,7.0
59,2019,,NBA Finals,Toronto Raptors,2,230.0,Golden State Warriors,1,-270.0,1,6.0
60,2019,Eastern,Conf Finals,Milwaukee Bucks,1,-270.0,Toronto Raptors,2,230.0,2,6.0
61,2019,Western,Conf Finals,Golden State Warriors,1,-550.0,Portland Trail Blazers,3,425.0,1,4.0
62,2019,Eastern,Conf Semis,Milwaukee Bucks,1,-360.0,Boston Celtics,4,300.0,1,5.0
63,2019,Eastern,Conf Semis,Toronto Raptors,2,-290.0,Philadelphia 76ers,3,245.0,1,7.0
64,2019,Western,Conf Semis,Golden State Warriors,1,-280.0,Houston Rockets,4,240.0,1,6.0
65,2019,Western,Conf Semis,Denver Nuggets,2,-145.0,Portland Trail Blazers,3,125.0,2,7.0
66,2019,Eastern,Round 1,Milwaukee Bucks,1,-3500.0,Detroit Pistons,8,1750.0,1,4.0
67,2019,Eastern,Round 1,Toronto Raptors,2,-1200.0,Orlando Magic,7,775.0,1,5.0
68,2019,Eastern,Round 1,Philadelphia 76ers,3,-600.0,Brooklyn Nets,6,450.0,1,5.0
