Year,Conference,Round,Team1,Seed1,Odds1,Team2,Seed2,Odds2,WinningTeam,Result
2023,Eastern,Conf Finals,Boston Celtics,2,-550,Miami Heat,8,+400,,
2023,Western,Conf Finals,Denver Nuggets,1,-170,Los Angeles Lakers,7,+145,,
2023,Eastern,Conf Semis,Boston Celtics,2,-550,Philadelphia 76ers,3,+425,Boston Celtics,4-3
2023,Eastern,Conf Semis,New York Knicks,5,-160,Miami Heat,8,+140,Miami Heat,4-2
2023,Western,Conf Semis,Denver Nuggets,1,+100,Phoenix Suns,4,-120,Denver Nuggets,4-2
2023,Western,Conf Semis,Golden State Warriors,6,-150,Los Angeles Lakers,7,+130,Los Angeles Lakers,4-2
2023,Eastern,Round 1,Milwaukee Bucks,1,-1200,Miami Heat,8,+750,Miami Heat,4-1
2023,Eastern,Round 1,Boston Celtics,2,-1600,Atlanta Hawks,7,+900,Boston Celtics,4-2
2023,Eastern,Round 1,Philadelphia 76ers,3,-1100,Brooklyn Nets,6,+700,Philadelphia 76ers,4-0
2023,Eastern,Round 1,Cleveland Cavaliers,4,-190,New York Knicks,5,+170,New York Knicks,4-1
2023,Western,Round 1,Denver Nuggets,1,-550,Minnesota Timberwolves,8,+425,Denver Nuggets,4-1
2023,Western,Round 1,Memphis Grizzlies,2,-160,Los Angeles Lakers,7,+140,Los Angeles Lakers,4-2
2023,Western,Round 1,Sacramento Kings,3,+225,Golden State Warriors,6,-265,Golden State Warriors,4-3
2023,Western,Round 1,Phoenix Suns,4,-600,Los Angeles Clippers,5,+450,Phoenix Suns,4-1
2022,,NBA Finals,Golden State Warriors,3,-145,Boston Celtics,2,+125,Golden State Warriors,4-2
2022,Eastern,Conf Finals,Miami Heat,1,+140,Boston Celtics,2,-160,Boston Celtics,4-3
2022,Western,Conf Finals,Golden State Warriors,3,-220,Dallas Mavericks,4,+180,Golden State Warriors,4-1
2022,Eastern,Conf Semis,Miami Heat,1,-310,Philadelphia 76ers,4,+250,Miami Heat,4-2
2022,Eastern,Conf Semis,Boston Celtics,2,-200,Milwaukee Bucks,3,+170,Boston Celtics,4-3
2022,Western,Conf Semis,Phoenix Suns,1,-295,Dallas Mavericks,4,+240,Dallas Mavericks,4-3
2022,Western,Conf Semis,Memphis Grizzlies,2,+210,Golden State Warriors,3,-255,Golden State Warriors,4-2
2022,Eastern,Round 1,Miami Heat,1,-420,Atlanta Hawks,8,+330,Miami Heat,4-1
2022,Eastern,Round 1,Boston Celtics,2,-130,Brooklyn Nets,7,+110,Boston Celtics,4-0
2022,Eastern,Round 1,Milwaukee Bucks,3,-1100,Chicago Bulls,6,+700,Milwaukee Bucks,4-1
2022,Eastern,Round 1,Philadelphia 76ers,4,-175,Toronto Raptors,5,+155,Philadelphia 76ers,4-2
2022,Western,Round 1,Phoenix Suns,1,-1350,New Orleans Pelicans,8,+750,Phoenix Suns,4-2
2022,Western,Round 1,Memphis Grizzlies,2,-320,Minnesota Timberwolves,7,+260,Memphis Grizzlies,4-2
2022,Western,Round 1,Golden State Warriors,3,-275,Denver Nuggets,6,+225,Golden State Warriors,4-1
2022,Western,Round 1,Dallas Mavericks,4,+245,Utah Jazz,5,-300,Dallas Mavericks,4-2
2021,,NBA Finals,Phoenix Suns,2,-180,Milwaukee Bucks,3,+160,Milwaukee Bucks,4-2
